timestamp,latitude,longitude,agency,complaint_type,descriptor,location_type,borough
1715460406,40.546759,-73.842147,DOB,Drinking,Chronic Stoplight Violation,Building (Non-Residential),Unspecified
1722254570,40.874715,-74.202184,DOT,Animal-Abuse,Aps,Apartment,BROOKLYN
1688162808,40.712249,-74.235405,DOB,Street Condition,Suspicious Activity,Street,QUEENS
1687342719,40.688668,-74.096995,TLC,Abandoned Bike,Window Guard Broken/Missing,Comercial,Unspecified
1700910372,40.642905,-74.164486,OOS,Hazardous Materials,Cable,Apartment,QUEENS
1679039726,40.650771,-74.060824,DOE,Urinating In Public,Basin/Sink,Restaurant/Bar/Deli/Bakery,STATEN ISLAND
1680926141,40.908709,-74.041806,DSNY,Food Establishment,Street Fair Vendor,UNKNOWN,MANHATTAN
1711294646,40.580761,-74.211745,NYC311-PRD,Drug Activity,Working Contrary To Stop Work Order,Lobby,BRONX
1729948600,40.597772,-74.194449,DOE,Maintenance Or Facility,Street Light Lamp Dim,Park/Playground,BROOKLYN
1697391624,40.649214,-73.881404,NYPD,Sidewalk Condition,Supermarket Or Grocery Store,Alley,STATEN ISLAND
1715161871,40.571878,-73.84898,DHS,Missed Collection,Maintenance,House Of Worship,Unspecified
1718730967,40.733919,-73.873462,TLC,Traffic,Bin Not Used,Gutter,BRONX
1726574909,40.63249,-74.102743,DOB,Obstruction,Veh Sgnl Mult Lamps,Mobile Food Vendor,BROOKLYN
1716534944,40.709677,-73.763424,NYC311-PRD,Maintenance Or Facility,Clothing/Glasses,House And Store,BROOKLYN
1689100091,40.812895,-73.953562,NYPD,Outside Building,"Noise: Boat(Engine,Music,Etc) (Nr10)",Subway,QUEENS
1696842370,40.592115,-73.701354,DSNY,Noise,Building Permit - None,3+ Family Mixed Use Building,BRONX
1682806207,40.763527,-73.814356,DOT,Paint/Plaster,Blocked Crosswalk,Private School,QUEENS
1712538595,40.918371,-73.958987,DSNY,Abandoned Vehicle,Trees And Sidewalks Program,Bus Stop Shelter,Unspecified
1731926347,40.725528,-74.103246,NYC311-PRD,Hazardous Materials,Cat,Lobby,QUEENS
1683162987,40.690564,-73.725401,NYPD,Elevator,Post,Commercial Building,STATEN ISLAND
1733794617,40.544693,-73.906085,TLC,Rodent,Poster Or Sign,Taxi,BROOKLYN
1682806069,40.657044,-74.161148,OOS,Noise - Residential,1 Or 2,Taxi,MANHATTAN
1705338974,40.50818,-73.738996,TLC,Urinating In Public,Hours Of Operation,Hallway,BRONX
1688713818,40.868764,-73.729178,DEP,Street Sign - Damaged,Planted Less Than 2 Years Ago,Alley,STATEN ISLAND
1723943478,40.552819,-73.887137,DSNY,Damaged Tree,Food Contaminated,Store/Commercial,STATEN ISLAND
1700945506,40.905032,-73.739098,OOS,Street Sign - Damaged,Unauthorized Bus Layover,Common Area,Unspecified
1693468126,40.667577,-73.880572,DOHMH,Litter Basket Request,Radiator,Residential Building/House,BRONX
1689185864,40.594373,-74.064053,HPD,Non-Emergency Police Matter,Electrical Wiring Defective/Exposed,Subway,BROOKLYN
1673031769,40.529817,-73.902893,DOB,Bike Rack,Asbestos Complaint (B1),OTHER,BRONX
1707053633,40.599962,-73.882062,DOB,Noise - Vehicle,Chemical Vapors/Gases/Odors,Street/Sidewalk,STATEN ISLAND
1704269615,40.602059,-73.989865,DOT,Dead/Dying Tree,Bulky Recycling,Building (Non-Residential),Unspecified
1701476555,40.648805,-74.023894,TLC,Street Sign - Damaged,Bike Signal,Building (Non-Residential),BRONX
1699568656,40.80585,-73.809674,DEP,Electric,Dirt Or Gravel,Common Area,STATEN ISLAND
1702655145,40.558877,-74.149082,DPR,Electric,Boiler - Defective/Inoperative/No Permit,Residential Building/House,STATEN ISLAND
1679119743,40.521247,-73.700395,TLC,Abandoned Vehicle,Building Shaking/Vibrating/Structural Stability,Hallway,BROOKLYN
1699823185,40.703969,-74.132439,DOT,Best/Site Safety,Curb Cut/Driveway/Carport - Illegal,Private School,BRONX
1698749960,40.611385,-73.818761,DPR,Flooring/Stairs,Noise:  Lawn Care Equipment (Ncl),Street/Curbside,Unspecified
1720760763,40.704402,-74.145556,DOB,Best/Site Safety,Sign/Awning/Marquee - Illegal/No Permit,Street,BRONX
1722744990,40.631714,-74.222422,DPR,Noise - Commercial,Refrigerator,Comercial,BRONX
1706628993,40.533647,-74.147796,HPD,Bike Rack,Tree Alive - In Poor Condition,Hallway,QUEENS
1680594654,40.89547,-73.936679,HPD,Paint/Plaster,Bare Hands In Contact W/ Food,UNKNOWN,BRONX
1700682907,40.776097,-73.939125,DOHMH,Elevator,Door,Mobile Food Vendor,BROOKLYN
1690374288,40.66623,-73.88057,DOE,Maintenance Or Facility,Hydrant Leaking (Wc1),Alley,BRONX
1703304220,40.760887,-73.940353,DEP,Bike/Roller/Skate,Restaurant,Curb,STATEN ISLAND
1690346498,40.555632,-74.058045,DEP,Electric,Loud Music/Party,Lobby,BROOKLYN
1701955268,40.850173,-73.863053,HPD,Urinating In Public,Time Switch,Store/Commercial,BRONX
1717368740,40.843184,-74.085342,NYC311-PRD,Broken Parking Meter,Chronic,House And Store,BRONX
1732256809,40.544955,-73.945727,DOE,Flooring/Stairs,Sprinkler,Curb,Unspecified
1695559506,40.585511,-73.901169,DOE,Noise - Commercial,Plate Condition - Noisy,House And Store,BRONX
1678743245,40.766399,-73.793859,DCWP,Abandoned Bike,Inadequate Sweeping,Business,Unspecified
1690128720,40.567864,-74.00699,NYPD,Lead,Sewer Backup (Use Comments) (Sa),1-2 Family Dwelling,BRONX
1677598729,40.896921,-73.869939,DHS,Noise - Vehicle,Banging/Pounding,Park/Playground,STATEN ISLAND
1709628531,40.562199,-74.179905,DOE,Illegal Dumping,Bare Hands In Contact W/ Food,Park,BROOKLYN
1718321920,40.604802,-74.193464,OOS,Non-Residential Heat,No Permit Or License,UNKNOWN,Unspecified
1682921098,40.888821,-74.119794,DHS,Unsanitary Condition,Debris - Excessive,Residential,BRONX
1684585890,40.809357,-74.067298,DOT,Unsanitary Condition,Trash And Bulky Trash,Hallway,MANHATTAN
1683232786,40.830697,-74.190547,TLC,Animal-Abuse,Pavement,Gutter,BROOKLYN
1727349399,40.88575,-74.057688,TLC,Unsanitary Animal Pvt Property,Electric/Gas Range,Gutter,BRONX
1716843277,40.581115,-74.069456,TLC,Bike Rack,Working Contrary To Stop Work Order,House Of Worship,MANHATTAN
1715598310,40.71395,-73.876265,TLC,Noise - Street/Sidewalk,Inadequate Or No Heat,3+ Family Apartment Building,BRONX
1731406251,40.907568,-74.151788,DOE,Animal-Abuse,Car/Truck Music,Taxi,QUEENS
1695747869,40.805989,-74.077477,HPD,Noise - House Of Worship,Catch Basin Search (Sc2),Private School,STATEN ISLAND
1685305170,40.606983,-73.860168,DCWP,Noise - Park,Restaurant,Common Area,MANHATTAN
1701493078,40.529389,-73.884669,DOHMH,Real Time Enforcement,Hydrant Knocked Over/Missing (Wc),Bus Stop Shelter,Unspecified
1732950320,40.626135,-74.079893,DOT,General Construction/Plumbing,No Lighting,Lobby,STATEN ISLAND
1681091339,40.580573,-73.884289,DOT,Sewer,Water Meter Broken/Leaking - Other (Cmo),Commercial Building,STATEN ISLAND
